venue,asset,kind,instrument,expiry,strike,cp,bid_coin,ask_coin,mark_coin,bid_usd,ask_usd,mark_iv,underlying,open_interest,volume,delta,vega,gamma,theta,funding_8h
deribit,BTC,option,BTC-30OCT26-57000-C,30OCT26,57000,C,0.1435,0.147,0.14518506,9151.99089,9375.21018,40.22,64404.81,0.0,0.0,,,,,
deribit,BTC,option,BTC-14AUG26-58000-C,14AUG26,58000,C,0.09,0.096,0.09399688,5739.9246,6122.5862400000005,41.15,63828.84,0.0,0.0,0.91917,16.36426,3e-05,-31.519,
deribit,BTC,option,BTC-25DEC26-210000-C,25DEC26,210000,C,,0.0003,0.00011194,0.0,19.133081999999998,58.2,64838.7,151.7,0.4,,,,,
deribit,BTC,option,BTC-25DEC26-92000-C,25DEC26,92000,C,0.009,0.01,0.009539,573.9924599999999,637.7694,38.61,64838.8,252.4,0.9,,,,,
deribit,BTC,option,BTC-7AUG26-64500-P,7AUG26,64500,P,0.018,0.0195,0.01864282,1147.9849199999999,1243.65033,30.32,63783.84,1.2,0.2,-0.63347,24.11866,0.00019,-99.3148,
deribit,BTC,option,BTC-25SEP26-240000-P,25SEP26,240000,P,2.6145,2.876,2.74064217,166744.80963,183422.47944,75.03,64160.31,0.0,0.0,,,,,
deribit,BTC,option,BTC-26MAR27-90000-C,26MAR27,90000,C,0.0295,0.031,0.03015317,1881.41973,1977.0851400000001,39.34,65502.21,506.9,0.5,,,,,
deribit,BTC,option,BTC-14AUG26-67000-P,14AUG26,67000,P,0.0515,0.0565,0.05403929,3284.51241,3603.3971100000003,28.85,63828.84,0.0,0.0,-0.82982,27.65547,8e-05,-37.34041,
deribit,BTC,option,BTC-25DEC26-86000-C,25DEC26,86000,C,0.0155,0.0165,0.01597802,988.5425700000001,1052.31951,38.11,64838.8,314.4,5.4,,,,,
deribit,BTC,option,BTC-25SEP26-95000-P,25SEP26,95000,P,0.477,0.4885,0.48111056,30421.60038,31155.03519,42.02,64160.31,147.6,0.0,,,,,
deribit,BTC,option,BTC-25JUN27-90000-P,25JUN27,90000,P,0.4095,0.417,0.41171523,26116.65693,26594.98398,40.59,66250.16,0.4,0.2,,,,,
deribit,BTC,option,BTC-30OCT26-68000-P,30OCT26,68000,P,0.102,0.105,0.10316901,6505.24788,6696.5787,35.79,64404.81,2.1,0.0,,,,,
deribit,BTC,option,BTC-21AUG26-72000-C,21AUG26,72000,C,0.001,0.0012,0.00114109,63.77694,76.53232799999999,30.9,63881.99,117.1,206.5,0.04249,12.7256,2e-05,-11.11862,
deribit,BTC,option,BTC-26MAR27-160000-P,26MAR27,160000,P,1.3605,1.539,1.44419818,86768.52687,98152.71066,46.39,65502.04,0.0,0.0,,,,,
deribit,BTC,option,BTC-25DEC26-74000-C,25DEC26,74000,C,0.0455,0.047,0.04626938,2901.85077,2997.51618,38.09,64838.8,146.2,0.2,,,,,
deribit,BTC,option,BTC-6AUG26-57000-P,6AUG26,57000,P,0.0001,0.0003,0.00017031,6.377694000000001,19.133081999999998,56.98,63768.39,0.3,0.3,-0.00983,1.43627,1e-05,-10.3743,
deribit,BTC,option,BTC-7AUG26-67000-P,7AUG26,67000,P,0.049,0.056,0.0512586,3125.07006,3571.50864,31.47,63783.84,54.4,0.0,-0.93696,7.93341,6e-05,-33.90201,
deribit,BTC,option,BTC-25SEP26-58000-P,25SEP26,58000,P,0.02,0.021,0.02041437,1275.5388,1339.3157400000002,38.71,64160.31,944.6,61.7,,,,,
deribit,BTC,option,BTC-25DEC26-54000-C,25DEC26,54000,C,0.203,0.206,0.2045782,12946.718820000002,13138.04964,43.61,64838.8,33.1,0.0,,,,,
deribit,BTC,option,BTC-5AUG26-61500-P,5AUG26,61500,P,0.0007,0.001,0.00082068,44.643858,63.77694,36.84,63758.56,45.2,35.0,-0.07006,5.81676,8e-05,-48.80954,
